,canonical_smiles,molecule_chembl_id,standard_value_norm,le,bioactivity_class,index,MW,LogP,NumHDonors,NumHAcceptors
0,CC12CCC(O)CC1=CCC1C2CCC2(C)C(CC3CN3)CCC12,CHEMBL341591,7100.0,0.30034326299138725,active,0,329.5280000000001,4.288200000000003,2.0,2.0
1,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC[C@@H]2[C@H]1CN1,CHEMBL2111947,50000.0,0.2618018258230249,active,1,315.50100000000003,3.898100000000002,2.0,2.0
2,CCn1c(C(c2ccc(F)cc2)n2ccnc2)c(C)c2cc(Br)ccc21,CHEMBL431859,238.0,0.3566458561584955,inactive,2,412.30600000000004,5.705420000000004,0.0,3.0
3,CCn1cc(C(c2ccc(F)cc2)n2ccnc2)c2ccccc21,CHEMBL113637,57.0,0.42257396675243797,inactive,3,319.38300000000004,4.634500000000003,0.0,3.0
4,Clc1ccccc1Cn1cc(Cn2ccnc2)c2ccccc21,CHEMBL112021,54.0,0.44237603201077585,inactive,4,321.81100000000004,4.587800000000002,0.0,3.0
5,Cc1ccc(S(=O)(=O)n2cc(C(c3ccccc3)n3ccnc3)c3ccccc32)cc1,CHEMBL324070,5400.0,0.2378918947176724,active,5,427.5290000000001,5.020920000000004,0.0,5.0
6,CCn1ccc2cc(C(c3ccc(F)cc3)n3ccnc3)ccc21,CHEMBL41761,41.0,0.4309209416913487,inactive,6,319.38300000000004,4.634500000000003,0.0,3.0
7,Cn1cc(C(c2ccc(F)cc2)n2ccnc2)c2cc(Br)ccc21,CHEMBL111868,78.5,0.4144659366898602,inactive,7,384.25200000000007,4.914100000000003,0.0,3.0
8,CCn1cc(C(c2ccc(F)cc2)n2ccnc2)c2cc(Br)ccc21,CHEMBL111888,51.8,0.4079975334542669,inactive,8,398.27900000000005,5.397000000000003,0.0,3.0
9,CCn1ccc2cc(C(c3ccccc3)n3ccnc3)ccc21,CHEMBL112074,205.0,0.40711063454443236,inactive,9,301.39300000000003,4.495400000000003,0.0,3.0
10,N#Cc1ccc(Cn2cc(Cn3ccnc3)c3ccccc32)cc1,CHEMBL324326,50.0,0.42589341641373224,inactive,10,312.37600000000003,3.8060800000000024,0.0,4.0
11,CCCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,CHEMBL37321,6600.0,0.3296653859200629,active,11,302.418,3.458700000000002,0.0,3.0
12,c1ccc2c(c1)CCC1C(c3cc[nH]n3)C21,CHEMBL353068,51000.0,0.3755876095914305,inactive,12,210.28000000000003,2.8531000000000004,1.0,1.0
13,CCCCCCCC1(c2ccncc2)CCC(=O)NC1=O,CHEMBL41066,3200.0,0.3663233347786729,inactive,13,288.391,3.1165000000000003,1.0,3.0
14,O=C1/C(=C/c2cccnn2)CCc2ccccc21,CHEMBL166709,250000.0,0.2801602215477304,active,14,236.27399999999997,2.6891000000000007,0.0,3.0
15,O=C1/C(=C/c2ccnnc2)CCc2ccccc21,CHEMBL424556,103000.0,0.3101126603007088,active,15,236.274,2.6891000000000016,0.0,3.0
16,C[C@]12CC[C@H]3[C@@H](CC=C4[C@H](O)CCC[C@@]43CO)[C@@H]1CCC2=O,CHEMBL1630273,6800.0,0.32884034191869405,active,16,304.43000000000006,2.8516000000000012,2.0,3.0
17,C[C@]12CC[C@H]3[C@@H](C[C@@H](O)C4=CCCC[C@@]43C)[C@@H]1CCC2=O,CHEMBL1630261,50.0,0.4867353330442654,inactive,17,288.431,3.8792000000000035,1.0,2.0
18,O=C1/C(=C\c2c[nH]cn2)CCc2ccccc21,CHEMBL169251,170.0,0.557492441768848,inactive,18,224.26299999999998,2.622200000000001,1.0,2.0
19,O=C1/C(=C/c2cccnc2)CCc2ccccc21,CHEMBL168636,9200.0,0.39170539120645675,inactive,19,235.28599999999997,3.294100000000002,0.0,2.0
20,O=C1/C(=C/c2ccncc2)CCc2ccccc21,CHEMBL90585,4600.0,0.4151188353136553,inactive,20,235.28599999999997,3.294100000000002,0.0,2.0
21,C[C@]12CC[C@H]3[C@@H](CCC4=CCCC[C@@]43CO)[C@@H]1CCC2=O,CHEMBL1629805,49.0,0.48732026133143236,inactive,21,288.43100000000004,3.8808000000000025,1.0,2.0
22,c1ccc2c(c1)CCC1C(c3ccsc3)C21,CHEMBL433728,250000.0,0.3151802492411967,active,22,226.34400000000002,4.191500000000003,0.0,1.0
23,CCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,CHEMBL38877,31000.0,0.3322154541385272,active,23,260.337,2.2884,0.0,3.0
24,O=C1c2ccccc2CCC1C(O)c1cnccn1,CHEMBL169449,250000.0,0.2654149467294288,active,24,254.28900000000002,1.9552999999999998,1.0,4.0
25,CCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,CHEMBL39275,40000.0,0.3078558006070426,active,25,274.36400000000003,2.6785000000000014,0.0,3.0
