canonical_smiles,molecule_chembl_id,standard_value
CC12CCC(O)CC1=CCC1C2CCC2(C)C(CC3CN3)CCC12,CHEMBL341591,7100.0
C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC[C@@H]2[C@H]1CN1,CHEMBL2111947,50000.0
CCn1c(C(c2ccc(F)cc2)n2ccnc2)c(C)c2cc(Br)ccc21,CHEMBL431859,238.0
CCn1cc(C(c2ccc(F)cc2)n2ccnc2)c2ccccc21,CHEMBL113637,57.0
Clc1ccccc1Cn1cc(Cn2ccnc2)c2ccccc21,CHEMBL112021,54.0
Cc1ccc(S(=O)(=O)n2cc(C(c3ccccc3)n3ccnc3)c3ccccc32)cc1,CHEMBL324070,5400.0
CCn1ccc2cc(C(c3ccc(F)cc3)n3ccnc3)ccc21,CHEMBL41761,41.0
Cn1cc(C(c2ccc(F)cc2)n2ccnc2)c2cc(Br)ccc21,CHEMBL111868,78.5
CCn1cc(C(c2ccc(F)cc2)n2ccnc2)c2cc(Br)ccc21,CHEMBL111888,51.8
CCn1ccc2cc(C(c3ccccc3)n3ccnc3)ccc21,CHEMBL112074,205.0
N#Cc1ccc(Cn2cc(Cn3ccnc3)c3ccccc32)cc1,CHEMBL324326,50.0
CCCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,CHEMBL37321,6600.0
c1ccc2c(c1)CCC1C(c3cc[nH]n3)C21,CHEMBL353068,51000.0
CCCCCCCC1(c2ccncc2)CCC(=O)NC1=O,CHEMBL41066,3200.0
O=C1/C(=C/c2cccnn2)CCc2ccccc21,CHEMBL166709,250000.0
O=C1/C(=C/c2ccnnc2)CCc2ccccc21,CHEMBL424556,103000.0
C[C@]12CC[C@H]3[C@@H](CC=C4[C@H](O)CCC[C@@]43CO)[C@@H]1CCC2=O,CHEMBL1630273,6800.0
C[C@]12CC[C@H]3[C@@H](C[C@@H](O)C4=CCCC[C@@]43C)[C@@H]1CCC2=O,CHEMBL1630261,50.0
O=C1/C(=C\c2c[nH]cn2)CCc2ccccc21,CHEMBL169251,170.0
O=C1/C(=C/c2cccnc2)CCc2ccccc21,CHEMBL168636,9200.0
O=C1/C(=C/c2ccncc2)CCc2ccccc21,CHEMBL90585,4600.0
C[C@]12CC[C@H]3[C@@H](CCC4=CCCC[C@@]43CO)[C@@H]1CCC2=O,CHEMBL1629805,49.0
